dataType,responseVariable,feature,var,Pr(>Chisq),R2m,R2c,FDR
metabolomics,cholesterol,M181,values,4.7545358706032714e-8,0.4393794109496023,0.6074530442967128,5.517328799408752e-6
metabolomics,cholesterol,M249,values,0.004559463998060598,0.13161214303245572,0.48318018488192266,0.03346200621712112
metabolomics,cholesterol,M660,values,1.1562007118812721e-7,0.40316902705546914,0.6078490911673756,9.73560500113485e-6
metabolomics,cholesterol,M708,values,0.005376457593275314,0.11521206395961937,0.5428936538202416,0.036794270042184135
metabolomics,cholesterol,M1120,values,4.724356091697e-4,0.2585699307307294,0.46742609911859656,0.0058921992564202295
metabolomics,cholesterol,M1329,values,1.1306154754320936e-4,0.0013061083505004386,0.9978895529459691,0.0019984190092240117
metabolomics,cholesterol,M1720,values,8.174153644229385e-5,0.18751097697546523,0.6563723072446683,0.0015150566719755714
metabolomics,cholesterol,M1765,values,9.755944054555546e-5,0.32204141366807737,0.4664419716097727,0.0017483142221076339
metabolomics,cholesterol,M1858,values,2.44102277722039e-6,0.3453185117894667,0.5273364075378987,9.08477572895731e-5
metabolomics,cholesterol,M2099,values,0.001606887583486045,0.21314525585598798,0.413121172984694,0.015482970975899835
metabolomics,cholesterol,M2252,values,3.894755353341187e-7,0.3744824570375915,0.5578197201124193,2.3100226751261396e-5
metabolomics,cholesterol,M2285,values,2.1327682502976403e-4,0.2570224509194911,0.5021122592804358,0.0032342945795706826
metabolomics,cholesterol,M2353,values,5.90202869411659e-4,0.23737027517697992,0.4110715612375679,0.006970139196724416
metabolomics,cholesterol,M2837,values,2.7905415007535656e-5,0.2556258785413248,0.592442400098896,6.365773731206211e-4
metabolomics,cholesterol,M2839,values,1.411444352974486e-5,0.2835363029569174,0.6354514133116705,3.657422308824178e-4
metabolomics,cholesterol,M2889,values,4.81835607633587e-6,0.37021291845862975,0.4964309073169955,1.549420767197643e-4
metabolomics,cholesterol,M3201,values,0.001521644131642864,0.14869449407186808,0.6913343525323958,0.014822146669178117
metabolomics,cholesterol,M3863,values,7.199346264926314e-4,0.0817998204829884,0.7721897199184424,0.007940105446730716
metabolomics,cholesterol,M3955,values,1.6779977661506305e-4,0.23528755420411393,0.5622525589570666,0.002730839047473191
metabolomics,cholesterol,M3982,values,1.6181918058786178e-6,0.3542310944517909,0.5361944221185209,6.446199895358255e-5
metabolomics,cholesterol,M4089,values,0.002273930803467947,0.03643437436197539,0.8749203475502472,0.01996421485018405
metabolomics,cholesterol,M5057,values,6.014821682005085e-4,0.26765717986889864,0.3949801785534433,0.007041034679505076
metabolomics,cholesterol,M5444,values,5.343691677899745e-4,0.19853119900036104,0.48675948226559346,0.006395656093414538
metabolomics,cholesterol,M5468,values,2.824990170977094e-7,0.37251479747877275,0.5959942387600385,1.8673398906171203e-5
metabolomics,cholesterol,M5798,values,0.0030779037912755415,0.1850155756178819,0.3723577344271535,0.024669445101845107
metabolomics,cholesterol,M6161,values,0.002042612211037597,0.2362764969892748,0.3529375327352916,0.01879907583192878
metabolomics,cholesterol,M6348,values,3.7434627133367993e-6,0.38789436483226986,0.4723296326364658,1.314644997617884e-4
metabolomics,cholesterol,M6551,values,2.9060731284094037e-7,0.209829555677437,0.7567696354851936,1.8673398906171203e-5
metabolomics,cholesterol,M7147,values,3.945602017593846e-8,0.13524534488785941,0.8759680795328572,5.517328799408752e-6
metabolomics,cholesterol,M7184,values,0.003435725609508873,0.1757600004266658,0.4010008262951934,0.026522837325161887
metabolomics,cholesterol,M7318,values,1.5331637990882575e-4,0.25383102167755245,0.49504162699268006,0.002557508862354099
metabolomics,cholesterol,M7424,values,1.7934810706497556e-4,0.07206750205439535,0.8714016907312088,0.0028823215261958657
metabolomics,cholesterol,M7488,values,0.0033391443328259786,0.1673460164387903,0.4062973546317716,0.025983021062135677
metabolomics,cholesterol,M7866,values,2.9883037662592677e-4,0.04398019479813907,0.9250683737207905,0.004175802488034548
