responseVariable,min,max,maxP,n
cholesterol,0.0013061083505004386,0.4393794109496023,0.038732495329267,45
dbp,0.08707829633784119,0.3534392961217118,0.03299264136194556,43
ferritin,0.029331295031780592,0.3305104129093217,0.046244983686798635,19
glucose,0.11873443501726692,0.2700062353435904,0.03915400237515307,11
hb,0.08172734067003813,0.5089502516220833,0.03310885285491214,37
hct,0.05997932827738386,0.5367532527867925,0.023220963627537262,37
HDL,0.01332224006963722,0.3284352164850803,0.03303616114449098,31
hvr,0.09185354940471101,0.1998348281003847,0.04880226699681353,5
insulin,0.07193596686801144,0.33158701354033115,0.020820729865339036,12
iron,0.060152742874832583,0.3463381716302715,0.0408826742227593,14
LDL,0.01961871352109433,0.27699839520990344,0.03208366960274835,35
resting_hr,0.09508565232648054,0.3771549669936506,0.04496638350756317,8
sbp,0.08992972931617431,0.1637539600817148,0.046472927798638056,14
SpO2,0.0841697807842287,0.33853968349062835,0.041712189446628085,27
transferrin,0.00959599008332024,0.3594176706372328,0.04943162501325088,52
triglycerides,0.08598120417434885,0.5150243574545107,0.00640847785374798,48
